Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),GDP ($ per capita),Literacy (%),Agriculture,Industry,Service,Latitude,Longitude,Phones (per 1000)
Montserrat,LATIN AMER. & CARIB    ,9439,102,92.5,3400,97,,,,16.742498,-62.187366,208.10
Morocco,NORTHERN AFRICA                    ,33241259,446550,74.4,4000,51.7,0.22,0.36,0.43,31.791702,-7.09262,1035.60
Mozambique,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,1200,47.8,0.26,0.35,0.39,-18.665695,35.529562,55.10
Namibia,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,7200,84,0.1,0.32,0.59,-22.95764,18.49041,
Nauru,OCEANIA                            ,13287,21,632.7,5000,,,,,-0.522778,166.931503,40.40
Nepal,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,1400,45.2,0.38,0.21,0.41,28.394857,84.124008,3.50
Netherlands,WESTERN EUROPE                     ,16491461,41526,397.1,28600,99,0.02,0.24,0.74,52.132633,5.291266,62.60
Netherlands Antilles,LATIN AMER. & CARIB    ,221736,960,231,11400,96.7,0.01,0.15,0.84,12.226079,-69.060087,143.00
New Caledonia,OCEANIA                            ,219246,19060,11.5,15000,91,0.15,0.09,0.76,-20.904305,165.618042,15.90
New Zealand,OCEANIA                            ,4076140,268680,15.2,21600,99,0.04,0.27,0.68,-40.900557,174.885971,460.80
Nicaragua,LATIN AMER. & CARIB    ,5570129,129494,43,2300,67.5,0.17,0.28,0.56,12.865416,-85.207229,365.30
Niger,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,800,17.6,0.39,0.17,0.44,17.607789,8.081666,252.20
Nigeria,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,900,68,0.27,0.49,0.24,9.081999,8.675277,441.70
N. Mariana Islands,OCEANIA                            ,82459,477,172.9,12500,97,,,,-19.054445,-169.867233,39.70
Norway,WESTERN EUROPE                     ,4610820,323802,14.2,37800,100,0.02,0.42,0.56,60.472024,8.468946,1.90
Oman,NEAR EAST                          ,3102229,212460,14.6,13100,75.8,0.03,0.39,0.58,21.512583,55.923255,9.30
Pakistan,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,2100,45.7,0.22,0.25,0.53,30.375321,69.345116,254.70
Palau,OCEANIA                            ,20579,458,44.9,9000,92,0.06,0.12,0.82,7.51498,134.58252,461.70
Panama,LATIN AMER. & CARIB    ,3191319,78200,40.8,6300,92.6,0.07,0.16,0.78,8.537981,-80.782127,85.50
Papua New Guinea,OCEANIA                            ,5670544,462840,12.3,2200,64.6,0.35,0.38,0.27,-6.314993,143.95555,31.80
Paraguay,LATIN AMER. & CARIB    ,6506464,406750,16,4700,94,0.22,0.21,0.57,-23.442503,-58.443832,325.60
Peru,LATIN AMER. & CARIB    ,28302603,1285220,22,5100,90.9,0.08,0.27,0.65,-9.189967,-75.015152,137.90
Philippines,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,4600,92.6,0.14,0.33,0.53,12.879721,121.774017,10.90
Poland,EASTERN EUROPE                     ,38536869,312685,123.3,11100,99.8,0.05,0.31,0.64,51.919438,19.145136,49.20
Portugal,WESTERN EUROPE                     ,10605870,92391,114.8,18000,93.3,0.05,0.27,0.67,39.399872,-8.224454,79.50
Puerto Rico,LATIN AMER. & CARIB    ,3927188,13790,284.8,16800,94.1,0.01,0.45,0.54,18.220833,-66.590149,38.40
